[2022-10-03 16:32:35,015] Register - Step 01: Navigate to 'Register' page
[2022-10-03 16:59:49,060] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 16:59:49,170] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 16:59:54,272] Register - Step 09: Click to 'Register' button 
[2022-10-03 16:59:55,346] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 16:59:55,550] Login - Step 01: Navigate to Login Page 
[2022-10-03 16:59:57,075] Login - Step 02: Enter to Email textbox with value is 'automationfc8994@fakemail.com' 
[2022-10-03 16:59:57,229] Login - Step 03: Enter to Password textbox 
[2022-10-03 16:59:57,340] Login - Step 04: Click to Login button 
[2022-10-03 16:59:58,098] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 16:59:58,202] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 16:59:58,891] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 16:59:58,957] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 16:59:59,015] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 16:59:59,078] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 17:10:04,604] Register - Step 01: Navigate to 'Register' page
[2022-10-03 17:10:06,024] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 17:10:06,132] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 17:10:06,220] Register - Step 04: Enter date, month , year
[2022-10-03 17:10:07,222] Register - Step 05: Enter to Email textbox with value is 'automationfc24945@fakemail.com'
[2022-10-03 17:10:07,315] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 17:10:07,364] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 17:10:07,449] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 17:10:12,554] Register - Step 09: Click to 'Register' button 
[2022-10-03 17:10:14,006] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 17:10:39,873] Register - Step 01: Navigate to 'Register' page
[2022-10-03 17:10:41,183] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 17:10:41,339] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 17:10:41,490] Register - Step 04: Enter date, month , year
[2022-10-03 17:10:41,934] Register - Step 05: Enter to Email textbox with value is 'automationfc14905@fakemail.com'
[2022-10-03 17:10:42,097] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 17:10:42,193] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 17:10:42,333] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 17:10:47,475] Register - Step 09: Click to 'Register' button 
[2022-10-03 17:10:49,169] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 17:10:49,314] Login - Step 01: Navigate to Login Page 
[2022-10-03 17:10:50,768] Login - Step 02: Enter to Email textbox with value is 'automationfc14905@fakemail.com' 
[2022-10-03 17:10:50,921] Login - Step 03: Enter to Password textbox 
[2022-10-03 17:10:51,064] Login - Step 04: Click to Login button 
[2022-10-03 17:10:51,825] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 17:10:51,908] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 17:10:52,558] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 17:10:52,626] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 17:10:52,688] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 17:10:52,762] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 17:13:42,264] Register - Step 01: Navigate to 'Register' page
[2022-10-03 17:13:43,477] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 17:13:43,646] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 17:13:43,795] Register - Step 04: Enter date, month , year
[2022-10-03 17:13:44,250] Register - Step 05: Enter to Email textbox with value is 'automationfc50083@fakemail.com'
[2022-10-03 17:13:44,414] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 17:13:44,493] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 17:13:44,636] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 17:13:49,807] Register - Step 09: Click to 'Register' button 
[2022-10-03 17:13:51,275] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 17:13:51,446] Login - Step 01: Navigate to Login Page 
[2022-10-03 17:13:52,769] Login - Step 02: Enter to Email textbox with value is 'automationfc50083@fakemail.com' 
[2022-10-03 17:13:52,917] Login - Step 03: Enter to Password textbox 
[2022-10-03 17:13:53,046] Login - Step 04: Click to Login button 
[2022-10-03 17:13:53,788] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 17:13:53,890] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 17:13:54,428] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 17:13:54,492] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 17:13:54,550] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 17:13:54,612] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 17:22:02,510] Register - Step 01: Navigate to 'Register' page
[2022-10-03 17:22:04,782] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 17:22:05,119] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 17:22:05,258] Register - Step 04: Enter date, month , year
[2022-10-03 17:22:05,764] Register - Step 05: Enter to Email textbox with value is 'automationfc77444@fakemail.com'
[2022-10-03 17:22:05,912] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 17:22:06,037] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 17:22:06,226] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 17:22:11,430] Register - Step 09: Click to 'Register' button 
[2022-10-03 17:22:12,274] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 17:22:12,456] Login - Step 01: Navigate to Login Page 
[2022-10-03 17:22:13,755] Login - Step 02: Enter to Email textbox with value is 'automationfc77444@fakemail.com' 
[2022-10-03 17:22:13,907] Login - Step 03: Enter to Password textbox 
[2022-10-03 17:22:14,036] Login - Step 04: Click to Login button 
[2022-10-03 17:22:14,816] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 17:22:14,892] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 17:22:15,393] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 17:22:15,470] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 17:22:15,543] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 17:22:15,607] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 17:31:44,296] Register - Step 01: Navigate to 'Register' page
[2022-10-03 17:31:45,499] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 17:31:45,661] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 17:31:45,834] Register - Step 04: Enter date, month , year
[2022-10-03 17:31:46,312] Register - Step 05: Enter to Email textbox with value is 'automationfc79627@fakemail.com'
[2022-10-03 17:31:46,455] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 17:31:46,523] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 17:31:46,670] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 17:31:51,826] Register - Step 09: Click to 'Register' button 
[2022-10-03 17:31:53,303] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 17:31:53,445] Login - Step 01: Navigate to Login Page 
[2022-10-03 17:31:54,939] Login - Step 02: Enter to Email textbox with value is 'automationfc79627@fakemail.com' 
[2022-10-03 17:31:55,078] Login - Step 03: Enter to Password textbox 
[2022-10-03 17:31:55,214] Login - Step 04: Click to Login button 
[2022-10-03 17:31:55,981] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 17:31:56,072] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 17:31:56,618] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 17:31:56,694] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 17:31:56,757] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 17:31:56,820] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 20:08:12,428] Register - Step 01: Navigate to 'Register' page
[2022-10-03 20:08:14,001] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 20:08:14,163] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 20:08:14,315] Register - Step 04: Enter date, month , year
[2022-10-03 20:08:14,781] Register - Step 05: Enter to Email textbox with value is 'automationfc36142@fakemail.com'
[2022-10-03 20:08:14,949] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 20:08:15,040] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 20:08:15,231] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 20:08:20,387] Register - Step 09: Click to 'Register' button 
[2022-10-03 20:08:21,382] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 20:08:21,536] Login - Step 01: Navigate to Login Page 
[2022-10-03 20:08:22,904] Login - Step 02: Enter to Email textbox with value is 'automationfc36142@fakemail.com' 
[2022-10-03 20:08:23,070] Login - Step 03: Enter to Password textbox 
[2022-10-03 20:08:23,215] Login - Step 04: Click to Login button 
[2022-10-03 20:08:23,963] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 20:08:24,047] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 20:08:24,600] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 20:08:24,673] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 20:08:24,733] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 20:08:24,819] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 20:09:38,557] Register - Step 01: Navigate to 'Register' page
[2022-10-03 20:09:39,699] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 20:09:39,851] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 20:09:40,008] Register - Step 04: Enter date, month , year
[2022-10-03 20:09:40,452] Register - Step 05: Enter to Email textbox with value is 'automationfc62775@fakemail.com'
[2022-10-03 20:09:40,596] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 20:09:40,662] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 20:09:40,808] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 20:09:45,950] Register - Step 09: Click to 'Register' button 
[2022-10-03 20:09:46,816] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 20:09:46,963] Login - Step 01: Navigate to Login Page 
[2022-10-03 20:09:48,302] Login - Step 02: Enter to Email textbox with value is 'automationfc62775@fakemail.com' 
[2022-10-03 20:09:48,444] Login - Step 03: Enter to Password textbox 
[2022-10-03 20:09:48,571] Login - Step 04: Click to Login button 
[2022-10-03 20:09:49,304] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 20:09:49,402] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 20:09:49,936] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 20:09:50,019] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 20:09:50,079] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 20:09:50,154] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 20:45:09,283] OS name = windows 10
[2022-10-03 20:45:09,388] Driver instance name = chromedriver: chrome on windows (bdf15bdbe6d09a951099905e67044845)
[2022-10-03 21:31:37,701] OS name = windows 10
[2022-10-03 21:31:37,725] Driver instance name = chromedriver: chrome on windows (798ea8785fd8928b1bb7048dd2fa763c)
